SID,Date,category,name,value,item,tdif,delta_value
882,2015-11-29T18:47:00Z,pers,A,10,kind,2.4166666666666665,-1.0344827586206897
882,2015-11-29T21:12:00Z,pers,A,7.5,kind,3.716666666666667,0.6726457399103138
882,2015-11-30T00:55:00Z,pers,A,10,kind,3.6,0
882,2015-11-30T04:31:00Z,pers,A,10,kind,13.7,-0.18248175182481752
882,2015-11-30T18:13:00Z,pers,A,7.5,kind,3.8833333333333333,0
882,2015-11-30T22:06:00Z,pers,A,7.5,kind,3.066666666666667,0
882,2015-12-02T04:05:00Z,pers,A,7.5,kind,14.033333333333333,0
882,2015-12-02T18:07:00Z,pers,A,7.5,kind,3.033333333333333,0.8241758241758242
882,2015-12-02T21:09:00Z,pers,A,10,kind,3.4166666666666665,0
882,2015-12-03T00:34:00Z,pers,A,10,kind,23.466666666666665,0
882,2015-12-04T00:02:00Z,pers,A,10,kind,4.216666666666667,0
882,2015-12-04T04:15:00Z,pers,A,10,kind,13.783333333333333,0
882,2015-12-04T18:02:00Z,pers,A,10,kind,3.05,-0.819672131147541
882,2015-12-04T21:05:00Z,pers,A,7.5,kind,7.1,0.35211267605633806
882,2015-12-05T04:11:00Z,pers,A,10,kind,15.233333333333333,0
882,2015-12-05T19:25:00Z,pers,A,10,kind,1.9333333333333333,0
882,2015-12-05T21:21:00Z,pers,A,10,kind,21.216666666666665,0
882,2015-12-07T21:26:00Z,pers,A,0,kind,2.6166666666666667,1.910828025477707
882,2015-12-08T00:03:00Z,pers,A,5,kind,4.4,1.1363636363636362
882,2015-12-08T04:27:00Z,pers,A,10,kind,14.416666666666666,0
882,2015-12-08T18:52:00Z,pers,A,10,kind,5.366666666666666,0
882,2015-12-09T00:14:00Z,pers,A,10,kind,17.783333333333335,-0.14058106841611995
882,2015-12-09T18:01:00Z,pers,A,7.5,kind,3.066666666666667,0
882,2015-12-09T21:05:00Z,pers,A,7.5,kind,3.216666666666667,-0.7772020725388601
882,2015-12-10T00:18:00Z,pers,A,5,kind,4.45,0
882,2015-12-10T04:45:00Z,pers,A,5,kind,16.333333333333332,0.15306122448979592
882,2015-12-10T21:05:00Z,pers,A,7.5,kind,2.9166666666666665,0
882,2015-12-11T00:00:00Z,pers,A,7.5,kind,3.3333333333333335,0
882,2015-12-11T03:20:00Z,pers,A,7.5,kind,17.866666666666667,-0.13992537313432835
882,2015-12-11T21:12:00Z,pers,A,5,kind,5.9,0.847457627118644
882,2015-12-12T03:06:00Z,pers,A,10,kind,21.866666666666667,0
882,2015-12-13T00:58:00Z,pers,A,10,kind,3.0166666666666666,0
